Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,52.369999,53.279999,52.230000,52.730000,48.599052,1703900
2022-06-28,53.639999,53.790001,52.840000,53.299999,49.124393,1409000
2022-06-29,54.540001,54.580002,52.950001,52.970001,48.820255,1607900
2022-06-30,52.389999,53.049999,51.889999,52.639999,48.516106,2092300
2022-07-01,52.549999,53.110001,51.500000,52.830002,48.691219,1799400
2022-07-05,51.410000,51.500000,50.130001,51.150002,47.142834,2164700
2022-07-06,48.869999,49.520000,48.160000,49.060001,45.216572,2773900
2022-07-07,50.279999,50.639999,50.070000,50.279999,46.340988,1790700
2022-07-08,50.580002,50.779999,49.560001,50.130001,46.202744,2002400
2022-07-11,49.419998,49.770000,48.970001,49.450001,45.576015,1412300
2022-07-12,48.240002,48.759998,48.119999,48.349998,44.562183,1192200
2022-07-13,48.020000,49.200001,47.880001,48.980000,45.142834,1545100
2022-07-14,46.119999,46.660000,45.660000,46.299999,42.672787,2081300
2022-07-15,47.779999,48.180000,47.470001,47.930000,44.175091,1402400
2022-07-18,49.759998,50.080002,49.040001,49.169998,45.317947,2190400
2022-07-19,49.930000,50.810001,49.900002,50.790001,46.811039,1444700
2022-07-20,50.410000,50.480000,49.830002,50.209999,46.276470,1878800
2022-07-21,48.490002,49.340000,48.160000,49.279999,45.419331,1524200
2022-07-22,49.090000,49.689999,49.020000,49.299999,45.437763,860400
2022-07-25,49.790001,50.480000,49.459999,50.480000,46.525318,1417900
2022-07-26,50.299999,50.410000,49.470001,49.660000,45.769562,1368600
2022-07-27,50.080002,51.000000,49.869999,50.830002,46.847904,1132900
2022-07-28,49.750000,49.970001,48.750000,48.959999,45.124397,2723500
2022-07-29,50.220001,51.139999,50.060001,51.060001,47.059883,2131500
2022-08-01,50.529999,50.830002,50.139999,50.549999,46.589832,1277800
2022-08-02,49.910000,49.950001,48.840000,48.860001,45.032238,1824800
2022-08-03,50.480000,50.490002,49.020000,49.250000,45.391682,1545100
2022-08-04,49.709999,50.009998,49.259998,49.439999,45.566792,2600700
2022-08-05,48.700001,50.119999,48.650002,49.680000,45.787994,1259900
2022-08-08,50.980000,51.160000,50.619999,50.709999,46.737305,1127600
2022-08-09,51.990002,52.389999,51.790001,51.830002,47.769558,1376800
2022-08-10,52.630001,52.630001,51.700001,52.439999,48.331772,1240900
2022-08-11,53.669998,54.139999,53.520000,53.730000,49.520710,1412600
2022-08-12,53.349998,54.020000,53.029999,54.020000,49.787991,980800
2022-08-15,51.700001,52.070000,51.020000,51.860001,47.797211,1550800
2022-08-16,52.500000,52.820000,52.230000,52.650002,48.525318,977600
2022-08-17,51.930000,52.880001,51.750000,52.619999,48.497665,906700
2022-08-18,53.240002,53.799999,53.180000,53.650002,49.446976,1088900
2022-08-19,53.299999,53.439999,52.790001,53.020000,48.866329,1447200
2022-08-22,52.849998,53.009998,52.230000,53.009998,48.857117,1085800
2022-08-23,53.730000,54.810001,53.730000,54.730000,50.442368,3540600
2022-08-24,53.580002,53.919998,53.200001,53.650002,49.446976,2716500
2022-08-25,54.430000,54.570000,53.810001,53.980000,49.751125,2603400
2022-08-26,54.549999,54.980000,53.680000,53.750000,49.539143,2636000
2022-08-29,53.950001,54.860001,53.939999,54.439999,50.175091,3954900
2022-08-30,53.400002,53.410000,52.070000,52.070000,47.990757,4875300
2022-08-31,50.450001,51.509998,50.360001,50.509998,46.552971,3084400
2022-09-01,50.130001,50.189999,49.560001,49.889999,45.981541,2091500
2022-09-02,51.570000,52.040001,50.790001,50.840000,46.857113,3507100
2022-09-06,51.919998,52.040001,50.700001,50.750000,46.774174,3818500
2022-09-07,49.590000,49.959999,49.020000,49.560001,45.677399,3384900
2022-09-08,49.119999,49.470001,48.689999,49.389999,45.520714,2958300
2022-09-09,50.130001,50.720001,50.020000,50.680000,46.709652,2369500
2022-09-12,51.209999,51.529999,50.820000,50.919998,46.930847,2427400
2022-09-13,50.090000,50.529999,49.540001,49.709999,45.815643,2483800
2022-09-14,50.740002,51.830002,50.619999,51.209999,47.198128,3257600
2022-09-15,50.209999,50.360001,49.680000,50.060001,46.138222,1888300
2022-09-16,49.570000,50.200001,49.270000,50.160000,46.230389,1817100
2022-09-19,47.840000,49.200001,47.709999,48.939999,45.732323,2008500
2022-09-20,48.540001,48.599998,47.700001,48.049999,44.900658,2287600
